ID号					id_num
品名					product_name
规格					standard
供应商					supplier
库存					stock
批次					batch
成本价1					cost_price1
成本价2					cost_price2
成本价3					cost_price3
批发价					trade_price
是否考核				ischeck
状态					state
操作					control
调价次数				modify_prices
操作人					operator
业务员					salesman
数量					number
单价					unit_price
金额 					money
销售成本				cost_of_sales
客户					customer
业务时间				business_time
编号					identifier
区域					region
负责人					director
责任主管				executives
属性					attribute
单位名称				unit_name
地址					address
采购联系人				purchasing_contact
采购联系方式			contact_information
拜访次数				visit_times
序号					index
员工姓名				yg_name
角色					role
角色名称				role_name
角色说明				role_description
成列面得分				clm_score
陈列数得分				cls_score
铺点数得分				pds_score
销售总额得分			xsze_score
平均加权价得分			average
总分					total_score
排名					ranking
客户编号				kh_number
日期					bf_date
时段					time_interval
帐号					accounts
帐号名					accounts_name
分组					grouping
手机号码				phone_num
创建时间				creation_time
用户组名称				yhz_name
用户组说明				yhz_description
用户组成员				yhz_member
日志产生时间			rzcs_timer
操作描述				cz_describe

